Fulton,"35,048","36,054","38,361",,
Gallatin,"42,066","43,830","44,602",,
Greene,"34,138","34,425","36,912",,
Grundy,"47,503","49,480","51,657",,
Hamilton,"40,449","43,346","43,349",,
Hancock,"42,681","43,476","46,081",,
Hardin,"35,739","36,658","37,155",,
Henderson,"40,440","41,657","41,951",,
Henry,"43,076","44,073","45,072",,
Iroquois,"41,650","41,329","43,258",,
Jackson,"34,304","35,488","37,284",,
Jasper,"40,414","42,431","45,961",,
Jefferson,"36,488","37,681","39,581",,
Jersey,"38,665","39,720","41,522",,
Jo Daviess,"45,749","46,417","49,061",,
Johnson,"33,440","34,457","35,956",,
Kane,"47,188","48,814","51,333",,
Kankakee,"38,347","39,602","41,290",,
Kendall,"45,910","46,966","49,033",,
Knox,"37,642","37,806","39,471",,
Lake,"72,732","74,130","78,559",,
LaSalle,"41,221","42,616","44,632",,
Lawrence,"28,337","28,640","29,911",,
Lee,"38,851","40,081","41,788",,
Livingston,"43,580","42,784","44,775",,
Logan,"35,912","35,922","38,339",,
McDonough,"36,599","37,161","38,692",,
McHenry,"51,524","52,999","55,720",,
McLean,"46,727","47,247","49,180",,
Macon,"45,077","45,425","48,214",,
Macoupin,"37,884","38,899","41,607",,
Madison,"43,183","44,555","46,890",,
Marion,"38,733","40,229","43,059",,
Marshall,"44,145","43,764","46,015",,
Mason,"39,443","40,016","42,510",,
Massac,"36,754","37,218","38,360",,
Menard,"41,932","43,943","47,233",,
Mercer,"42,306","43,836","45,046",,
Monroe,"54,629","55,106","58,686",,
Montgomery,"33,943","34,961","37,717",,
Morgan,"37,782","38,417","41,359",,
Moultrie,"51,336","57,703","62,718",,
Ogle,"43,246","44,393","46,755",,
Peoria,"47,351","47,963","51,135",,
Perry,"34,981","35,993","38,369",,
Piatt,"49,466","50,502","54,258",,
Pike,"40,335","40,413","42,768",,
Pope,"28,224","29,341","30,306",,
